,zpid,id,imgSrc,hasImage,detailUrl,statusType,statusText,countryCurrency,price,unformattedPrice,address,addressStreet,addressCity,addressState,addressZipcode,isUndisclosedAddress,beds,baths,area,latitude,longitude,isZillowOwned,commute,type,text,streetAddress,zipcode,city,state,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,imageLink,daysOnZillow,isFeatured,shouldHighlight,brokerId,zestimate,rentZestimate,is_FSBA,isUnmappable,mediumImageLink,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,timeOnZillow,hiResImageLink,watchImageLink,tvImageLink,tvCollectionImageLink,tvHighResImageLink,desktopWebHdpImageLink,isNonOwnerOccupied,isPremierBuilder,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isSaved,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,brokerName,list,relaxed,videoCount,unit,lotAreaString,datePriceChanged,priceReduction,priceChange,festimate,is_FSBO,streetViewMetadataURL,streetViewURL
0,19742784,19742784,https://photos.zillowstatic.com/fp/fcd0cd1e89ba0755056ff14eed4b4fdd-p_e.jpg,True,https://www.zillow.com/homedetails/20724-Seaton-Ave-Saratoga-CA-95070/19742784_zpid/,FOR_SALE,House for sale,$,3838888.0,3838888,"20724 Seaton Ave, Saratoga, CA 95070",20724 Seaton Ave,Saratoga,CA,95070,False,3.0,3.0,2984.0,37.266935,-122.036252,False,,DAYS_ON,1 day on Zillow,20724 Seaton Ave,95070,Saratoga,CA,869468400000,3.0,3.0,2984.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,3271576.0,6400,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,3838888.0,1604155620000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,1228611.0,0.3236914600550964,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Century 21 Real Estate Alliance Inc,True,False,,,,,,,,,,
1,19654169,19654169,https://photos.zillowstatic.com/fp/8d4334ed69acbab9d2e84d36e9ec5213-p_e.jpg,True,https://www.zillow.com/homedetails/19535-Vineyard-Ln-Saratoga-CA-95070/19654169_zpid/,FOR_SALE,Condo for sale,$,999888.0,999888,"19535 Vineyard Ln, Saratoga, CA 95070",19535 Vineyard Ln,Saratoga,CA,95070,False,2.0,2.0,1191.0,37.27941,-122.0077,False,,DAYS_ON,1 day on Zillow,19535 Vineyard Ln,95070,Saratoga,CA,869468400000,2.0,2.0,1191.0,CONDO,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,1,False,False,0,,3250,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,999888.0,1604120640000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,233561.0,2000.0,sqft,False,False,False,ForSale,For Sale (Broker),False,False,False,Intero Real Estate Services,True,False,,,,,,,,,,
2,19658002,19658002,https://photos.zillowstatic.com/fp/1492933fc67577fab20758ead16ac8ae-p_e.jpg,True,https://www.zillow.com/homedetails/14911-Farwell-Ave-Saratoga-CA-95070/19658002_zpid/,FOR_SALE,House for sale,$,4595000.0,4595000,"14911 Farwell Ave, Saratoga, CA 95070",14911 Farwell Ave,Saratoga,CA,95070,False,5.0,6.0,4280.0,37.251842,-122.020981,False,,DAYS_ON,4 days on Zillow,14911 Farwell Ave,95070,Saratoga,CA,1562828400000,6.0,5.0,4280.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,4,False,False,0,4595030.0,9963,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,4595000.0,1603926360000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,2244518.0,0.8847796143250689,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Sereno Group,True,False,,,,,,,,,,
3,19653870,19653870,https://photos.zillowstatic.com/fp/b7ffe85ddf6fd5e7b04f99736de3e40b-p_e.jpg,True,https://www.zillow.com/homedetails/12296-Atrium-Cir-Saratoga-CA-95070/19653870_zpid/,FOR_SALE,Townhouse for sale,$,998000.0,998000,"12296 Atrium Cir, Saratoga, CA 95070",12296 Atrium Cir,Saratoga,CA,95070,False,2.0,2.0,1207.0,37.291289,-122.031146,False,,DAYS_ON,5 days on Zillow,12296 Atrium Cir,95070,Saratoga,CA,1473318000000,2.0,2.0,1207.0,TOWNHOUSE,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,1028489.0,3350,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,998000.0,1603807980000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,1062248.0,2090.0,sqft,False,False,False,ForSale,For Sale (Broker),False,False,False,Alliance Bay Realty,True,False,,,,,,,,,,
4,19658158,19658158,https://photos.zillowstatic.com/fp/23892cc0e024c892c5a3c6245aaa2e41-p_e.jpg,True,https://www.zillow.com/homedetails/14125-Douglass-Ln-Saratoga-CA-95070/19658158_zpid/,FOR_SALE,House for sale,$,3595000.0,3595000,"14125 Douglass Ln, Saratoga, CA 95070",14125 Douglass Ln,Saratoga,CA,95070,False,5.0,5.0,3200.0,37.263006,-122.023373,False,,DAYS_ON,5 days on Zillow,14125 Douglass Ln,95070,Saratoga,CA,1189753200000,5.0,5.0,3200.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,3605396.0,7770,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,3595000.0,1603774440000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,2510264.0,0.2578971533516988,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Intero Real Estate Services,True,False,,,,,,,,,,
5,19660768,19660768,https://photos.zillowstatic.com/fp/1b782c7ffb219b334efb45c595b1b8e6-p_e.jpg,True,https://www.zillow.com/homedetails/12500-Quito-Rd-San-Jose-CA-95070/19660768_zpid/,FOR_SALE,House for sale,$,2250000.0,2250000,"12500 Quito Rd, San Jose, CA 95070",12500 Quito Rd,San Jose,CA,95070,False,3.0,2.0,1492.0,37.286409,-121.993981,False,,DAYS_ON,5 days on Zillow,12500 Quito Rd,95070,San Jose,CA,1363676400000,2.0,3.0,1492.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,5,False,False,0,2233449.0,3950,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,2250000.0,1603774020000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,703734.0,0.47428833792470154,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Coldwell Banker Realty,True,False,,,,,,,,,,
6,19652284,19652284,https://photos.zillowstatic.com/fp/cebf27616bd7fd5a64298c903fcff223-p_e.jpg,True,https://www.zillow.com/homedetails/12360-Radoyka-Dr-Saratoga-CA-95070/19652284_zpid/,FOR_SALE,House for sale,$,1295000.0,1295000,"12360 Radoyka Dr, Saratoga, CA 95070",12360 Radoyka Dr,Saratoga,CA,95070,False,3.0,2.5,1821.0,37.287693,-121.998744,False,,DAYS_ON,7 days on Zillow,12360 Radoyka Dr,95070,Saratoga,CA,1363676400000,2.5,3.0,1821.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,7,False,False,0,1362830.0,4700,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,1295000.0,1603609560000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,111995.0,10471.0,sqft,False,False,False,ForSale,For Sale (Broker),False,False,False,Vanguard Properties,True,False,,,,,,,,,,
7,19743119,19743119,https://photos.zillowstatic.com/fp/faa98322a332d0d86e772651501a47a5-p_e.jpg,True,https://www.zillow.com/homedetails/21518-Saratoga-Heights-Dr-Saratoga-CA-95070/19743119_zpid/,FOR_SALE,House for sale,$,4300000.0,4300000,"21518 Saratoga Heights Dr, Saratoga, CA 95070",21518 Saratoga Heights Dr,Saratoga,CA,95070,False,5.0,6.0,5085.0,37.257981,-122.051626,False,,DAYS_ON,7 days on Zillow,21518 Saratoga Heights Dr,95070,Saratoga,CA,1333004400000,6.0,5.0,5085.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,7,False,False,0,4304948.0,8500,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,4300000.0,1603599660000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,2662949.0,1.0199954086317722,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Intero Real Estate Services,True,False,,,,,,,,,,
8,19654837,19654837,https://photos.zillowstatic.com/fp/3113692b8ddce73dc5bf81db76bb0f6f-p_e.jpg,True,https://www.zillow.com/homedetails/18780-Aspesi-Dr-Saratoga-CA-95070/19654837_zpid/,FOR_SALE,House for sale,$,2125000.0,2125000,"18780 Aspesi Dr, Saratoga, CA 95070",18780 Aspesi Dr,Saratoga,CA,95070,False,3.0,2.0,2237.0,37.270679,-121.998801,False,,DAYS_ON,8 days on Zillow,18780 Aspesi Dr,95070,Saratoga,CA,1089961200000,2.0,3.0,2237.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,8,False,False,0,2218288.0,4800,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,2125000.0,1603574880000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,1405752.0,0.25849403122130393,acres,False,False,False,ForSale,For Sale (Broker),False,False,False,Compass,True,False,,,,,,,,,,
9,19655276,19655276,https://photos.zillowstatic.com/fp/751bd62e78d3fde6ff44eaba7c5321ae-p_e.jpg,True,https://www.zillow.com/homedetails/19041-Dagmar-Dr-Saratoga-CA-95070/19655276_zpid/,FOR_SALE,Contingent,$,2849999.0,2849999,"19041 Dagmar Dr, Saratoga, CA 95070",19041 Dagmar Dr,Saratoga,CA,95070,False,5.0,4.0,2579.0,37.273741,-122.004899,False,,VIDEO_WALKTHROUGH,Video Walkthrough,19041 Dagmar Dr,95070,Saratoga,CA,1559631600000,4.0,5.0,2579.0,SINGLE_FAMILY,FOR_SALE,https://www.zillowstatic.com/static/images/nophoto_p_g.png,8,False,False,0,2911583.0,3415,True,False,https://www.zillowstatic.com/static/images/nophoto_p_c.png,False,FOR_SALE,2849999.0,1603516740000,https://www.zillowstatic.com/static/images/nophoto_p_f.png,https://www.zillowstatic.com/static/images/nophoto_p_j.png,https://www.zillowstatic.com/static/images/nophoto_p_m.png,https://www.zillowstatic.com/static/images/nophoto_p_l.png,https://www.zillowstatic.com/static/images/nophoto_p_n.png,https://www.zillowstatic.com/static/images/nophoto_p_h.png,True,False,USD,USA,1675000.0,8860.0,sqft,False,False,False,ForSale,For Sale (Broker),False,False,True,Intero Real Estate Services,True,False,1.0,,,,,,,,,
